Item,Qty (Est),Unit,Unit Cost,Amount (Est),Qty (Contract),Amount (Contract),Status,Variance,Notes
SWPPP Narrative,1,ea,$1350.00,$1350.00,1,$1350.00,KEPT,$0.00,
Compost Filter Sock,3000,LF,$2.75,$8250.00,1780,$4895.00,REDUCED,-$3355.00,Qty reduced from 3000 to 1780 LF
Rock Entrance,4,ea,$2475.00,$9900.00,3,$7425.00,REDUCED,-$2475.00,Qty reduced from 4 to 3
Rumble Grates Rental,24,mo,$1100.00,$26400.00,24,$26400.00,KEPT,$0.00,8 quarters x 3 months
Drop Inlet Protection,24,ea,$175.00,$4200.00,0,$0.00,REMOVED,-$4200.00,Per contract: provided by storm sewer contractor
Curb Inlet Protection,2,ea,$375.00,$750.00,2,$750.00,KEPT,$0.00,
Concrete Rolloff,0,ea,$725.00,$0.00,0,$0.00,KEPT,$0.00,Budgetary - not included
SWPPP Sign,2,ea,$275.00,$550.00,2,$550.00,KEPT,$0.00,
Spill Kit,1,ea,$345.00,$345.00,2,$690.00,INCREASED,$345.00,Qty increased from 1 to 2
Fire Access Signs,2,ea,$675.00,$1350.00,2,$1350.00,KEPT,$0.00,
Textura/Procore/GCPay fees,1,ea,$100.00,$100.00,1,$350.00,INCREASED,$250.00,Fee increased
CCIP/OCIP/Insurance portal fees,1,ea,$250.00,$250.00,0,$0.00,REMOVED,-$250.00,
Inspections,60,ea,$195.00,$11700.00,60,$11700.00,KEPT,$0.00,8+8+8+8+7+7+7+7 = 60 inspections
Dust Control Permit,1,ea,$2760.00,$2760.00,1,$2760.00,KEPT,$0.00,
Dust Permit Renewal,2,ea,$1630.00,$3260.00,2,$3260.00,KEPT,$0.00,
Mobilization Charge,5,ea,$255.00,$1275.00,1,$255.00,REDUCED,-$1020.00,Qty reduced from 5 to 1
Backflow Certification,2,ea,$295.00,$590.00,2,$590.00,KEPT,$0.00,
Backflow Rental,27,mo,$490.00,$13230.00,27,$13230.00,KEPT,$0.00,9 quarters x 3 months
,,,,,,,,
ESTIMATE TOTAL,,,,$86260.00,,,,
CONTRACT TOTAL,,,,,$75555.00,,,
VARIANCE,,,,,-$10705.00,,,
,,,,,,,,
REMOVED ITEMS:,,,,,,,,
- Drop Inlet Protection,,,,$4200.00,,,,Excluded per contract scope
- CCIP/OCIP fees,,,,$250.00,,,,Not in contract
- Filter Sock (partial),,,,$3355.00,,,,1220 LF removed
- Rock Entrance (partial),,,,$2475.00,,,,1 entrance removed
- Mobilization (partial),,,,$1020.00,,,,4 mobilizations removed
TOTAL REMOVED,,,,$11300.00,,,,
,,,,,,,,
ADDED ITEMS:,,,,,,,,
+ Spill Kit (additional),,,,$345.00,,,,1 additional spill kit
+ Textura fee increase,,,,$250.00,,,,Fee increased by $250
TOTAL ADDED,,,,$595.00,,,,
,,,,,,,,
MATH CHECK:,,,,,,,,
Estimate - Removed + Added = Contract,,,,,,,,
$86260 - $11300 + $595 = $75555,,,,RECONCILES,,,
