canonical_field	label	group	covered_docs	unique_values	sources_json	sample_values_json
project.name	Project name	Project	196	186	["1.1 Project/Site Information.UNLABELED.project_name","SECTION 8: CERTIFICATION AND NOTIFICATION.Project Name","SECTION 8: CERTIFICATION AND NOTIFICATION.Project Title"]	[{"v":"sidney village","count":2},{"v":"portillo","count":2},{"v":"goldwater","count":2},{"v":"firerock country club golf course","count":2},{"v":"waddell crossing","count":2},{"v":"nexus commerce center","count":2},{"v":"encanto storage buckeye","count":2},{"v":"links at south mountain","count":2}]
project.address_line1	Project address line 1	Project	196	187	["1.1 Project/Site Information.UNLABELED.address_line1","TITLE.SWPPP Contact(s).Line2","1.2 Contact Information/Responsable Parties.Project Manager.Line2"]	[{"v":"1485 s apache rd","count":2},{"v":"7200 w ray rd","count":2},{"v":"7022 e 4th st","count":2},{"v":"1600 e firerock country club dr","count":2},{"v":"swc of cotton lane & waddell rd","count":2},{"v":"875 w elliot rd","count":2},{"v":"19460 w monte vista rd","count":2},{"v":"26808 n 95th st","count":2}]
project.city_state_zip	Project city/state/zip (single line)	Project	196	111	["1.1 Project/Site Information.UNLABELED.address_line2","TITLE.SWPPP Contact(s).Line3","1.2 Contact Information/Responsable Parties.Project Manager.Line3"]	[{"v":"mesa, az 85212","count":13},{"v":"scottsdale, az 85255","count":6},{"v":"queen creek, az 85142","count":5},{"v":"goodyear, az 85338","count":5},{"v":"tempe, az 85281","count":5},{"v":"phoenix, az 85054","count":5},{"v":"chandler, az 85286","count":4},{"v":"buckeye, az 85326","count":4}]
project.city	Project city (derived)	Project	180	29	[]	[{"v":"phoenix","count":38},{"v":"mesa","count":27},{"v":"scottsdale","count":20},{"v":"chandler","count":11},{"v":"tempe","count":10},{"v":"glendale","count":9},{"v":"gilbert","count":8},{"v":"goodyear","count":7}]
project.state	Project state (derived)	Project	180	1	[]	[{"v":"az","count":180}]
project.zip	Project zip (derived)	Project	180	89	[]	[{"v":"85212","count":13},{"v":"85255","count":7},{"v":"85142","count":6},{"v":"85338","count":5},{"v":"85281","count":5},{"v":"85054","count":5},{"v":"85286","count":4},{"v":"85326","count":4}]
project.county	County	Project	190	3	["1.1 Project/Site Information.County or Similar Subdivision"]	[{"v":"maricopa","count":185},{"v":"pima","count":4},{"v":"****","count":1}]
permit.azpdes_number	AZPDES tracking number	Permit	108	100	["1.1 Project/Site Information.AZPDES project or permit tracking number*","TITLE.SWPPP Contact(s).AZPDES number"]	[{"v":"113700","count":2},{"v":"108432","count":2},{"v":"108298","count":2},{"v":"108335","count":2},{"v":"104387","count":2},{"v":"109846","count":2},{"v":"112123","count":2},{"v":"112147","count":2}]
permit.azcon_number	AZCON tracking number	Permit	87	85	["1.1 Project/Site Information.AZCON project or permit tracking number*","TITLE.SWPPP Contact(s).AZCON number"]	[{"v":"109039","count":2},{"v":"93260","count":2},{"v":"113479","count":1},{"v":"113446","count":1},{"v":"114279","count":1},{"v":"109196","count":1},{"v":"109462","count":1},{"v":"108688","count":1}]
permit.number_best_effort	Permit number (best-effort AZPDES/AZCON)	Permit	195	185	[]	[{"v":"113700","count":2},{"v":"109039","count":2},{"v":"108432","count":2},{"v":"108298","count":2},{"v":"108335","count":2},{"v":"104387","count":2},{"v":"109846","count":2},{"v":"93260","count":2}]
