query-id	corpus-id	score
D0036582_id	D0036582	1
D0036582_project	D0036582	1
D0036582_partial	D0036582	1
D0036582_combo	D0036582	1
D0036582_addr	D0036582	1
D0035133_id	D0035133	1
D0035133_project	D0035133	1
D0035133_partial	D0035133	1
D0035133_combo	D0035133	1
D0035133_addr	D0035133	1
D0063901_id	D0063901	1
D0063901_project	D0063901	1
D0063901_combo	D0063901	1
D0024007_id	D0024007	1
D0024007_project	D0024007	1
D0024007_combo	D0024007	1
D0024007_addr	D0024007	1
D0024950_id	D0024950	1
D0024950_project	D0024950	1
D0024950_partial	D0024950	1
D0024950_combo	D0024950	1
D0024950_addr	D0024950	1
D0028875_id	D0028875	1
D0028875_project	D0028875	1
D0028875_partial	D0028875	1
D0028875_combo	D0028875	1
D0028875_addr	D0028875	1
D0044692_id	D0044692	1
D0044692_project	D0044692	1
D0044692_partial	D0044692	1
D0044692_combo	D0044692	1
D0021219_id	D0021219	1
D0021219_project	D0021219	1
D0021219_partial	D0021219	1
D0021219_combo	D0021219	1
D0021219_addr	D0021219	1
D0025002_id	D0025002	1
D0025002_project	D0025002	1
D0025002_partial	D0025002	1
D0025002_combo	D0025002	1
D0036844_id	D0036844	1
D0036844_project	D0036844	1
D0036844_partial	D0036844	1
D0036844_combo	D0036844	1
D0036844_addr	D0036844	1
D0041731_id	D0041731	1
D0041731_project	D0041731	1
D0041731_partial	D0041731	1
D0041731_combo	D0041731	1
D0064026_id	D0064026	1
D0064026_project	D0064026	1
D0064026_partial	D0064026	1
D0064026_combo	D0064026	1
D0064026_addr	D0064026	1
D0039595_id	D0039595	1
D0039595_project	D0039595	1
D0039595_partial	D0039595	1
D0039595_combo	D0039595	1
D0034415_id	D0034415	1
D0034415_project	D0034415	1
D0034415_partial	D0034415	1
D0034415_combo	D0034415	1
D0051056_id	D0051056	1
D0051056_project	D0051056	1
D0051056_partial	D0051056	1
D0051056_combo	D0051056	1
D0050656_id	D0050656	1
D0050656_project	D0050656	1
D0050656_partial	D0050656	1
D0050656_combo	D0050656	1
D0042840_id	D0042840	1
D0042840_project	D0042840	1
D0042840_partial	D0042840	1
D0042840_combo	D0042840	1
D0046160_id	D0046160	1
D0046160_project	D0046160	1
D0046160_partial	D0046160	1
D0046160_combo	D0046160	1
D0046160_addr	D0046160	1
D0058018_id	D0058018	1
D0058018_project	D0058018	1
D0058018_partial	D0058018	1
D0058018_combo	D0058018	1
D0057398_id	D0057398	1
D0057398_project	D0057398	1
D0057398_combo	D0057398	1
D0057398_addr	D0057398	1
D0021099_id	D0021099	1
D0021099_project	D0021099	1
D0021099_partial	D0021099	1
D0021099_combo	D0021099	1
D0021099_addr	D0021099	1
D0052775_id	D0052775	1
D0052775_project	D0052775	1
D0052775_partial	D0052775	1
D0052775_combo	D0052775	1
D0051051_id	D0051051	1
D0051051_project	D0051051	1
D0051051_partial	D0051051	1
D0051051_combo	D0051051	1
D0051051_addr	D0051051	1
D0022548_id	D0022548	1
D0022548_project	D0022548	1
D0022548_combo	D0022548	1
D0004807_id	D0004807	1
D0004807_project	D0004807	1
D0004807_partial	D0004807	1
D0004807_combo	D0004807	1
D0004807_addr	D0004807	1
D0041886_id	D0041886	1
D0041886_project	D0041886	1
D0041886_partial	D0041886	1
D0041886_combo	D0041886	1
D0041886_addr	D0041886	1
D0050154_id	D0050154	1
D0050154_project	D0050154	1
D0050154_partial	D0050154	1
D0050154_combo	D0050154	1
D0050154_addr	D0050154	1
D0056408_id	D0056408	1
D0056408_project	D0056408	1
D0056408_combo	D0056408	1
D0056408_addr	D0056408	1
D0055744_id	D0055744	1
D0055744_project	D0055744	1
D0055744_partial	D0055744	1
D0055744_combo	D0055744	1
D0055744_addr	D0055744	1
D0046716_id	D0046716	1
D0046716_project	D0046716	1
D0046716_combo	D0046716	1
D0027210_id	D0027210	1
D0027210_project	D0027210	1
D0027210_partial	D0027210	1
D0027210_combo	D0027210	1
D0027210_addr	D0027210	1
D0016634_id	D0016634	1
D0016634_project	D0016634	1
D0016634_partial	D0016634	1
D0016634_combo	D0016634	1
D0016634_addr	D0016634	1
D0056240_id	D0056240	1
D0056240_project	D0056240	1
D0056240_partial	D0056240	1
D0056240_combo	D0056240	1
D0056240_addr	D0056240	1
D0043401_id	D0043401	1
D0043401_project	D0043401	1
D0043401_partial	D0043401	1
D0043401_combo	D0043401	1
D0043401_addr	D0043401	1
D0045520_id	D0045520	1
D0045520_project	D0045520	1
D0045520_partial	D0045520	1
D0045520_combo	D0045520	1
D0045520_addr	D0045520	1
D0040725_id	D0040725	1
D0040725_project	D0040725	1
D0040725_partial	D0040725	1
D0040725_combo	D0040725	1
D0043026_id	D0043026	1
D0043026_project	D0043026	1
D0043026_combo	D0043026	1
D0043026_addr	D0043026	1
D0044854_id	D0044854	1
D0044854_project	D0044854	1
D0044854_combo	D0044854	1
D0046044_id	D0046044	1
D0046044_project	D0046044	1
D0046044_partial	D0046044	1
D0046044_combo	D0046044	1
D0046044_addr	D0046044	1
D0041841_id	D0041841	1
D0041841_project	D0041841	1
D0041841_partial	D0041841	1
D0041841_combo	D0041841	1
D0041841_addr	D0041841	1
D0048201_id	D0048201	1
D0048201_project	D0048201	1
D0048201_partial	D0048201	1
D0048201_combo	D0048201	1
D0047371_id	D0047371	1
D0047371_project	D0047371	1
D0047371_combo	D0047371	1
D0047371_addr	D0047371	1
D0044361_id	D0044361	1
D0044361_project	D0044361	1
D0044361_combo	D0044361	1
D0031719_id	D0031719	1
D0031719_project	D0031719	1
D0031719_combo	D0031719	1
D0031719_addr	D0031719	1
D0055870_id	D0055870	1
D0055870_project	D0055870	1
D0055870_partial	D0055870	1
D0055870_combo	D0055870	1
D0055870_addr	D0055870	1
D0041206_id	D0041206	1
D0041206_project	D0041206	1
D0041206_combo	D0041206	1
D0045899_id	D0045899	1
D0045899_project	D0045899	1
D0045899_combo	D0045899	1
D0052207_id	D0052207	1
D0052207_project	D0052207	1
D0052207_partial	D0052207	1
D0052207_combo	D0052207	1
D0036437_id	D0036437	1
D0036437_project	D0036437	1
D0036437_partial	D0036437	1
D0036437_combo	D0036437	1
D0037990_id	D0037990	1
D0037990_project	D0037990	1
D0037990_partial	D0037990	1
D0037990_combo	D0037990	1
D0041378_id	D0041378	1
D0041378_project	D0041378	1
D0041378_partial	D0041378	1
D0041378_combo	D0041378	1
D0042200_id	D0042200	1
D0042200_project	D0042200	1
D0042200_partial	D0042200	1
D0042200_combo	D0042200	1
D0042200_addr	D0042200	1
D0044493_id	D0044493	1
D0044493_project	D0044493	1
D0044493_partial	D0044493	1
D0044493_combo	D0044493	1
D0044493_addr	D0044493	1
D0046848_id	D0046848	1
D0046848_project	D0046848	1
D0046848_combo	D0046848	1
D0048340_id	D0048340	1
D0048340_project	D0048340	1
D0048340_partial	D0048340	1
D0048340_combo	D0048340	1
D0048340_addr	D0048340	1
D0041635_id	D0041635	1
D0041635_project	D0041635	1
D0041635_combo	D0041635	1
D0041635_addr	D0041635	1
D0028544_id	D0028544	1
D0028544_project	D0028544	1
D0028544_partial	D0028544	1
D0028544_combo	D0028544	1
D0008103_id	D0008103	1
D0008103_project	D0008103	1
D0008103_partial	D0008103	1
D0008103_combo	D0008103	1
D0047679_id	D0047679	1
D0047679_project	D0047679	1
D0047679_partial	D0047679	1
D0047679_combo	D0047679	1
D0045390_id	D0045390	1
D0045390_project	D0045390	1
D0045390_partial	D0045390	1
D0045390_combo	D0045390	1
D0045390_addr	D0045390	1
D0059979_id	D0059979	1
D0059979_project	D0059979	1
D0059979_partial	D0059979	1
D0059979_combo	D0059979	1
D0059979_addr	D0059979	1
D0051054_id	D0051054	1
D0051054_project	D0051054	1
D0051054_partial	D0051054	1
D0051054_combo	D0051054	1
D0046430_id	D0046430	1
D0046430_project	D0046430	1
D0046430_partial	D0046430	1
D0046430_combo	D0046430	1
D0046430_addr	D0046430	1
D0053573_id	D0053573	1
D0053573_project	D0053573	1
D0053573_partial	D0053573	1
D0053573_combo	D0053573	1
D0053573_addr	D0053573	1
D0046006_id	D0046006	1
D0046006_project	D0046006	1
D0046006_partial	D0046006	1
D0046006_combo	D0046006	1
D0057957_id	D0057957	1
