ltfIdno	permitAuthCode	dateSubmitted	dateApplied	issuedDate	status	facilityName	companyName	countyCode	countyName	permitProjectArea	conStartDate	conEndDate
114955	114955	02/20/2026	02/20/2026	02/20/2026	ISSUED	FIRE N ICE	CANYON BUILDING AND DESIGN LLC	04013	MARICOPA	17	02/20/2026	10/10/2026
114940	AZC114940	02/20/2026	02/20/2026	02/20/2026	ISSUED	THE CORE MESA APARTMENTS	MT BUILDERS LLC	04013	MARICOPA	10.36	03/16/2026	02/11/2028
114934	114934	02/20/2026	02/19/2026	02/20/2026	ISSUED	FN HP: ESPERERO WASH AT SUNRISE DR WR 4928617	SOUTHWEST GAS CORPORATION	04019	PIMA	1	03/09/2026	05/30/2026
114932	AZC114932	02/20/2026	02/19/2026	02/20/2026	ISSUED	CO BAR D SOLAR	SOLV ENERGY, LLC	04005	COCONINO	2262	06/08/2026	06/26/2028
114906	AZC114906	02/20/2026	02/19/2026	02/20/2026	ISSUED	PARCEL # 601-47-013	BLACKBURN DEVELOPMENT LLC	04005	COCONINO	1	02/19/2026	02/19/2027
114903	AZC114903	02/20/2026	02/19/2026	02/20/2026	ISSUED	PARCEL #601-49-077	BLACKBURN DEVELOPMENT LLC	04005	COCONINO	1	02/19/2026	02/19/2027
114902	AZC114902	02/20/2026	02/19/2026	02/20/2026	ISSUED	MADDOX	BLACKBURN DEVELOPMENT LLC	04005	COCONINO	1	02/19/2026	02/19/2027
114921	AZC114921	02/19/2026	02/20/2026	02/20/2026	ISSUED	F056201C- BOB STUMP MEMORIAL HWY (SR 303L) 51ST AVE TO I-17	ARIZONA DEPARTMENT OF TRANSPORTATION - CENTRAL DISTRICT	04013	MARICOPA	275.28	02/23/2026	08/28/2028
114918	114918	02/19/2026	02/19/2026	02/19/2026	ISSUED	CIRRUS SUBSTATION	ARIZONA PUBLIC SERVICE - T&D	04013	MARICOPA	1.52	02/19/2026	06/30/2026
114885	AZC114885	02/19/2026	02/19/2026	02/19/2026	ISSUED	CARIOCA LITCHFIELD AND CACTUS	C&M CONTRACTING LLC	04013	MARICOPA	13.2	02/23/2026	02/23/2027
114884	AZC114884	02/19/2026	02/17/2026	02/19/2026	ISSUED	APACHE JUNCTION SURFACE WATER TREATMENT PLANT	GARNEY COMPANIES INC	04021	PINAL	1	02/17/2026	02/17/2027
114875	AZC114875	02/19/2026	02/18/2026	02/19/2026	ISSUED	59BELL TECHNOLOGY PARK	OPUS DESIGN BUILD, L.L.C. DBA THE OPUS GROUP	04013	MARICOPA	5.84	03/03/2026	10/24/2026
114877	AZC114877	02/18/2026	02/18/2026	02/18/2026	ISSUED	COMMERCE 303	BPR COMPANIES LLC	04013	MARICOPA	30.5	03/03/2026	03/02/2027
114872	114872	02/18/2026	02/17/2026	02/18/2026	ISSUED	AMERICAN LEADERSHIP ACADEMY CASA GRANDE	BLUCOR CONTRACTING INC.	04021	PINAL	146	02/20/2026	02/20/2028
114864	AZC114864	02/18/2026	02/18/2026	02/18/2026	ISSUED	T037201C MISSOURI AVE ACTIVE TRANSPORTATION IMPROVEMENTS	ARIZONA DEPARTMENT OF TRANSPORTATION - CENTRAL DISTRICT	04013	MARICOPA	6.5	02/09/2026	08/28/2030
