packet	site	permit	lat	lon	critical_habitat_features	status
10892-841f70fc	Lofts @ G-Diamond	AZC110781	32.906223	-111.727011	0	NO_HIT
10994-b075b6bc	Houghton Road Industrial Center	AZC114038	32.051681	-110.788945	0	NO_HIT
11516-7d76e02c	Flagstaff USD - New Kinsey Elem School	AZC113593	35.17126	-111.649483	0	NO_HIT
12251-74e914f4	Caring For Angels	AZC113151	33.59627	-112.207983	0	NO_HIT
12264-0af597c9	International Furniture Direct	AZC110843	33.551292	-112.215879	0	NO_HIT
12277-9124f4f8	San Tan and Power	AZC109899	33.213031	-111.688062	0	NO_HIT
12287-622ea1f8	MMA One Scottsdale	AZC113724	33.659362	-111.92138	0	NO_HIT
12313-662033f4	Apache Trail Apartments	AZC113444	33.419001	-111.548654	0	NO_HIT
12326-55596078	Laveen ESD – Pre K-8 No. 10	AZC112543	33.35751	-112.18412	0	NO_HIT
12383-49dc4d70	Centre Pointe 6A	AZC113479	33.250702	-111.830399	0	NO_HIT
12415-23a190a1	THUNDERBIRD ADVENTIST ACADEMY	AZC110739	33.60985	-111.91905	0	NO_HIT
243272-2c411fe8	Sidney Village	AZC113700	33.432164	-112.571806	0	NO_HIT
243272-39a4d2a0	Desert Sky Apartments	AZC113539	33.48013	-112.209283	0	NO_HIT
243272-7bb626ac	Casadia	AZC113613	33.228395	-111.82371	0	NO_HIT
243272-aa747380	Sun Health RGS Rev.1	AZC113814	33.512238	-112.364283	0	NO_HIT
243272-b3ef47c4	VT 303 North	AZC114279	33.549731	-112.39668	0	NO_HIT
243272-ee3dd6d8	Innovative Commercial Building	AZC113509	33.866685	-112.148648	0	NO_HIT
247371-65403c3e	Sidney Village	AZC113700	33.432164	-112.571806	0	NO_HIT
258265-88bbe538	TANGER OUTLET OUTPARCEL	AZC109462	33.536691	-112.266185	0	NO_HIT
258274-19c49061	Astria	AZC108688	33.422901	-111.935865	0	NO_HIT
