raw_spelling,source_files,record_count,should_merge,notes
AR Mays,aia_all.csv; certs_2025_all.csv; certs_A.csv; excel_credit_memos.csv; excel_rental_bv.csv; excel_rental_items.csv; excel_rental_swppp_numbers.csv; excel_swppp_bv.csv; excel_swppp_confirmed.csv; excel_swppp_need_schedule.csv; excel_wt_sw.csv,718,NO,CANONICAL - Most common spelling (718 records)
armays,excel_location_completed.csv; excel_location_uploads.csv,56,YES,Spacing/punctuation variation of canonical
ARMAYS,excel_location_billing_invoices.csv; excel_location_completed.csv; excel_location_contract_billing.csv; excel_location_sheet1.csv; excel_location_uploads.csv,48,YES,Spacing/punctuation variation of canonical
AR MAYS,excel_location_completed.csv,24,YES,Case variation of canonical
A.R. Mays,excel_swppp_bv.csv,12,YES,Spacing/punctuation variation of canonical
A.R. MAYS,excel_location_contract_billing.csv; excel_location_need_start.csv; excel_location_sheet1.csv; excel_location_uploads.csv,9,YES,Spacing/punctuation variation of canonical
AR MAys,excel_rental_swppp_numbers.csv,2,YES,Case variation of canonical
AR May,excel_credit_memos.csv,1,YES,Mixed case or spacing variation
A.R. May,excel_credit_memos.csv,1,YES,Mixed case or spacing variation
AR Mayes,excel_credit_memos.csv,1,YES,Spelling variant (Mayes vs Mays)
Ar Mays,excel_swppp_bv.csv,1,YES,Case variation of canonical
