raw_spelling,record_count,source_files,is_job_entry,notes
"chasse building team",240,"excel_cp_invoices_2024.csv; excel_credit_memos.csv; excel_wt_sw.csv; excel_location_completed.csv; certs_2025_all.csv; excel_swppp_bv.csv",YES,
"chasse.us",149,"excel_wt_sw.csv; excel_location_need_start.csv; excel_location_completed.csv; excel_location_uploads.csv",YES,
"chasse building",108,"excel_rental_swppp_numbers.csv",YES,
"chasse building team, inc",94,"excel_location_sheet1.csv; excel_location_completed.csv; excel_location_contract_billing.csv; excel_location_uploads.csv",YES,
"chasse",63,"excel_rental_swppp_numbers.csv; excel_rental_bv.csv; excel_location_completed.csv; excel_swppp_bv.csv",YES,
"chasse builders",16,"excel_swppp_bv.csv",YES,
"is doing a joint venture with chasse building team",8,"excel_swppp_bv.csv",YES,
"chasse building team               (job",4,"excel_wt_sw.csv",YES,
"daniel and chasse) (complete",3,"excel_swppp_bv.csv",YES,
"chasse building team office (230 s siesta lane, tempe",2,"excel_wt_sw.csv",YES,
"chasse building team                                      job",2,"excel_wt_sw.csv",YES,
"chasse building team                                   (3hr min",2,"excel_wt_sw.csv",YES,
"chasse building team                            (job",2,"excel_wt_sw.csv",YES,
"chasse building team                            (job 210307",2,"excel_wt_sw.csv",YES,
"chasse building team                            (job 220068",2,"excel_wt_sw.csv",YES,
"chasse building team                            (job 220393",2,"excel_wt_sw.csv",YES,
"chasse building team                         (sam 602-284-6937)(job",2,"excel_wt_sw.csv",YES,
"chasse building team                       job",2,"excel_wt_sw.csv",YES,
"chasse building team                   (job 220678",2,"excel_wt_sw.csv",YES,
"chasse building team          (job 230369",2,"excel_wt_sw.csv",YES,
"chasse building team   (job",2,"excel_wt_sw.csv",YES,
"chasse building team - tempe elementary school district",2,"certs_2025_all.csv",YES,
"chasse took over for efren",1,"excel_wt_sw.csv",YES,
"chasse cleaned up muddy streets with shovels and wheel barrels",1,"excel_wt_sw.csv",YES,
"chasse building team - valley christian.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - valley christian school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - madison meadows middle school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - mtn view high school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - toluhsd - media center.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - urban living on filmore.pdf",1,"certs_2025_all.csv",YES,
"chasse building team.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - park place at gallery park.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - archway scottsdale field & site improvements.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - bicentennial south elementary school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - harrison street contract.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - wesd-site circulation at washington.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - maricopa usd-high school phase 2.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - st mary roman catholic parish chandler.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - haverly.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - mountain view hs renovation.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - madison meadows rebuild p2.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - west-mec southeast campus.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - gh trivium west.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - hohokam elementary renovation.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - head start san carlos.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - afushd-transportation & warehouse facility.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - 2040 scottsdale.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - tumbleweed rec center expansion.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ottawa university (3).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - msd-madison park rebuild (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ottawa residence hall.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - 1025 s beck ave.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - 16th st & jefferson st.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ec s ellsworth & e chandler heights.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - evit park parking lot (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team 1025 s beck ave",1,"certs_2025_all.csv",YES,
"chasse building team 1025 s beck ave.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - pcds parking lot upgrades.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - asu-usb materials yard.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - msd-madison park rebuild (3).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ottawa university (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - buckeye commons phase (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - community center & aquatics facility.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ottawa residence hall (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - arizona desert elementary - athletic fields.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - mountainside high school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - evit foster building (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - larry kennedy rebuild (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ccv queen creek campus.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - msd -madison park rebuild.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - alexan peoria (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - arizona desert elementary.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - alexan peoria.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - larry kennedy rebuild.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - afuhsd.pdf",1,"certs_2025_all.csv",YES,
