name_a,name_b,records_a,records_b,total_records,merge_reason,confidence
ar mays,armays,371,22,393,spelling_variation,HIGH
ar mayes,ar mays,1,371,372,spelling_variation,HIGH
wd construction llc weis builders,wd construction weis builders,134,9,143,spelling_variation,HIGH
big d,big-d,19,98,117,exact_match_after_normalization,HIGH
greystar,greystar development,45,56,101,exact_match_after_normalization,HIGH
mti- mitchell,mti-mitchell,40,37,77,exact_match_after_normalization,HIGH
the whiting turner,whiting turner,24,52,76,exact_match_after_normalization,HIGH
renaisance,renaissance,1,70,71,spelling_variation,HIGH
the weitz,weitz,14,56,70,exact_match_after_normalization,HIGH
roers,roers general,3,62,65,exact_match_after_normalization,HIGH
khovanian,khovnanian,12,44,56,spelling_variation,HIGH
bleu wave,bleuwave,1,54,55,spelling_variation,HIGH
concord,concord general,7,43,50,exact_match_after_normalization,HIGH
hovnanian,khovnanian,2,44,46,spelling_variation,HIGH
brinkman constructors,brinkmann constructors,34,10,44,spelling_variation,HIGH
concord general,concrod general,43,1,44,spelling_variation,HIGH
mill creek residential,millcreek residential,39,2,41,spelling_variation,HIGH
mill creek residential,millcreekresidential,39,2,41,spelling_variation,HIGH
abernathey,abernathy,31,7,38,spelling_variation,HIGH
brinkman constructors,brinkmann contructors,34,4,38,spelling_variation,HIGH
nitti dac,nittidac,16,15,31,spelling_variation,HIGH
the whiting turner,thewhitingturner,24,7,31,spelling_variation,HIGH
street lights,streetlights,15,14,29,spelling_variation,HIGH
arco murray,arcomurray,27,1,28,spelling_variation,HIGH
garrett,the garrett,23,4,27,exact_match_after_normalization,HIGH
brinkman,brinkmann,4,17,21,spelling_variation,HIGH
johansen interiors,johanson interiors,18,3,21,spelling_variation,HIGH
chanen,channen,17,3,20,spelling_variation,HIGH
near cal,near-cal,6,14,20,exact_match_after_normalization,HIGH
kraus anderson,krause anderson,4,14,18,spelling_variation,HIGH
niti dac,nitti dac,2,16,18,spelling_variation,HIGH
us,us development,6,12,18,exact_match_after_normalization,HIGH
w w clyde,ww clyde,1,17,18,spelling_variation,HIGH
180 degree,180 degrees,3,14,17,spelling_variation,HIGH
near - cal,near-cal,3,14,17,exact_match_after_normalization,HIGH
pwi residental,pwi residential,1,16,17,spelling_variation,HIGH
big d construction southwest,big-d construction southwest,8,7,15,exact_match_after_normalization,HIGH
k hovanian,khovanian,3,12,15,spelling_variation,HIGH
next gen,nextgen,1,14,15,spelling_variation,HIGH
bellmont homes,belmont homes,2,12,14,spelling_variation,HIGH
brinkmann constructors,brinkmann contructors,10,4,14,spelling_variation,HIGH
harris assocciates,harris associates,1,12,13,spelling_variation,HIGH
j walters,jwalters,10,2,12,spelling_variation,HIGH
penta building,the penta building,7,5,12,exact_match_after_normalization,HIGH
sonora west,sonoran west,11,1,12,spelling_variation,HIGH
stevens leinweber,stevens-leinweber,10,2,12,exact_match_after_normalization,HIGH
kraus anderson,kraus-anderson,4,7,11,exact_match_after_normalization,HIGH
mtv,mtv general,6,5,11,exact_match_after_normalization,HIGH
steven leinweber,stevens leinweber,1,10,11,spelling_variation,HIGH
stevens lein weber,stevens leinweber,1,10,11,spelling_variation,HIGH
crossland,crosslands,8,2,10,spelling_variation,HIGH
devco u s,devco us,1,9,10,spelling_variation,HIGH
haskell,the haskell,9,1,10,exact_match_after_normalization,HIGH
pro-low,prolow,8,2,10,spelling_variation,HIGH
terra nova,terra-nova,9,1,10,exact_match_after_normalization,HIGH
alliance residentail,alliance residential,2,7,9,spelling_variation,HIGH
beck build,beck builds,8,1,9,spelling_variation,HIGH
david weekley homes,david weekly homes,8,1,9,spelling_variation,HIGH
near - cal,near cal,3,6,9,exact_match_after_normalization,HIGH
arizona specialty demolition,arizona specialy demolition,4,4,8,spelling_variation,HIGH
common wealth,commonwealth,1,7,8,spelling_variation,HIGH
concord,concorde,7,1,8,spelling_variation,HIGH
kitchell contractors,mitchell contractors,5,3,8,spelling_variation,HIGH
kraus - anderson,kraus-anderson,1,7,8,exact_match_after_normalization,HIGH
my storage,my storge,6,2,8,spelling_variation,HIGH
sj anderson,the sj anderson,3,5,8,exact_match_after_normalization,HIGH
willmeng need job,willmeng need jobs,7,1,8,spelling_variation,HIGH
menlo equities,menlo equties,1,6,7,spelling_variation,HIGH
path constrution,path contruction,6,1,7,spelling_variation,HIGH
soil works,soilworks,3,4,7,spelling_variation,HIGH
southwest earthwork,southwest earthworks,6,1,7,spelling_variation,HIGH
tdc properties,tdcproperties,6,1,7,spelling_variation,HIGH
a finer touch,finer touch,4,2,6,exact_match_after_normalization,HIGH
j kopras homes,kopras homes,1,5,6,spelling_variation,HIGH
kopras home,kopras homes,1,5,6,spelling_variation,HIGH
on site,on-site,1,5,6,exact_match_after_normalization,HIGH
pro steel,prosteel,3,3,6,spelling_variation,HIGH
way,way construction,3,3,6,exact_match_after_normalization,HIGH
a e,e-,4,1,5,exact_match_after_normalization,HIGH
builders guide,builders guild,1,4,5,spelling_variation,HIGH
kraus - anderson,kraus anderson,1,4,5,exact_match_after_normalization,HIGH
parkway construction and associates,parkway construction associates,2,3,5,spelling_variation,HIGH
radius constractors,radius contractors,1,4,5,spelling_variation,HIGH
rouser concrete,rouser conrete,2,3,5,spelling_variation,HIGH
s s paving,ss paving,2,3,5,spelling_variation,HIGH
soilwork,soilworks,1,4,5,spelling_variation,HIGH
agate - now primak,agate now primak,1,3,4,exact_match_after_normalization,HIGH
core construction job 23-01-016,core construction job 2301013,2,2,4,spelling_variation,HIGH
k hovanian,k hovannian,3,1,4,spelling_variation,HIGH
lott brother,lott brothers,2,2,4,spelling_variation,HIGH
m anderson,manderson,3,1,4,spelling_variation,HIGH
mc construction management,ogc construction management,3,1,4,spelling_variation,HIGH
millcreek residential,millcreekresidential,2,2,4,spelling_variation,HIGH
quest,quest development,3,1,4,exact_match_after_normalization,HIGH
baker,baker construction,1,2,3,exact_match_after_normalization,HIGH
bell building,bell buildinig,2,1,3,spelling_variation,HIGH
core construction job 1-23-01-019,core construction job 23-01-016,1,2,3,spelling_variation,HIGH
core construction job 23-01-006,core construction job 23-01-016,1,2,3,spelling_variation,HIGH
core construction job 23-01-016,core construction job 23-01-017,2,1,3,spelling_variation,HIGH
core construction job 23-01-016,core construction job 23-01-022,2,1,3,spelling_variation,HIGH
core construction job 23-01-016,core construction job 23-01-027,2,1,3,spelling_variation,HIGH
core construction job 23-01-016,core construction job 23-02-001,2,1,3,spelling_variation,HIGH
