canonical_name,display_name,record_count,sources_found_in,likely_status
ed smith,E.D. Smith Paving,36,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,ACTIVE
rapi,Rapi,23,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,ACTIVE
mt2,MT2,22,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,ACTIVE
robert e porter,"Robert E. Porter Construction Co., Inc.",19,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,ACTIVE
wp west,WP West Builders,18,certs_2025_all | certs_A | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,ACTIVE
street lights,Street Lights,15,certs_2025_all | excel_cp_invoices_2024 | excel_credit_memos | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,ACTIVE
h b,H & B Builders,12,unknown,ACTIVE
dr horton,DR Horton Inc,12,certs_2025_all | excel_cp_invoices_2024 | excel_location_completed | excel_rental_bv | excel_rental_items | excel_swppp_bv,ACTIVE
khovanian,K.Hovanian,12,certs_2025_all | excel_cp_invoices_2024 | excel_credit_memos | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,ACTIVE
wp west builders arizona,WP West Builders Arizona LLC,12,certs_2025_all | excel_cp_invoices_2024 | excel_location_completed | excel_location_need_start | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,ACTIVE
desert mountain,Desert Mountain Club,10,certs_2025_all | certs_A | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,ACTIVE
idm build az,"IDM Build AZ, LLC",10,certs_2025_all | excel_credit_memos | excel_location_completed | excel_location_contract_billing | excel_location_need_start | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_need_schedule | excel_wt_sw,ACTIVE
j walters,J Walters Const Co,10,certs_2025_all | excel_cp_invoices_2024 | excel_credit_memos | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,ACTIVE
