canonical_name,display_name,record_count,likely_full_name,action,should_merge_with,confidence,notes,related_entries
big d,Big D,2,Big D,MERGE,big-d,HIGH,"FORMATTING ISSUE - should be merged with ""big-d"" (space vs hyphen)",big-d
big-d,Big-D,2,Big-D,MERGE,big d,HIGH,"FORMATTING ISSUE - should be merged with ""big d"" (hyphen vs space)",big d
ar,ARCO,6,ARCO,REVIEW,"Verify against arco (row with ARCO Construction company, inc.)",HIGH,Two-letter abbreviation - HIGH ambiguity risk. Could be ARCO or AR Mays. Check variants carefully.,"arco, armays, ar mays"
mt,MT Builders,5,MT Builders,REVIEW,"Verify distinct from ""mt2""",HIGH,Two-letter abbreviation - check for overlap with MT2 or other MT variants,mt2
arco,"ARCO Construction company, inc.",4,"ARCO Construction company, inc.",REVIEW,"Check if should merge with ""ar""",HIGH,"Full name form - verify if separate from ""ar"" or should consolidate",ar
mt2,MT2,3,MT2,REVIEW,"Verify distinct from ""mt""",MEDIUM,Three-letter form MT2 - verify if separate company or related,mt
wd,WD Construction,3,WD Construction,REVIEW,Check for WD Construction/Weis Builders variants,MEDIUM,"Two-letter abbreviation - check variants with ""Weis Builders""",wd construction llc weis builders
bjerk,Bjerk,8,Bjerk,KEEP,,LOW,Short name - verify legitimate abbreviation,None
bfl,BFL,7,BFL,KEEP,,LOW,Short name - verify legitimate abbreviation,None
weitz,Weitz Construction,7,Weitz Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
3411,3411 Builders,6,3411 Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
agate,Agate,6,Agate,KEEP,,LOW,Short name - verify legitimate abbreviation,None
wolff,"Wolff Construction, LLC",6,"Wolff Construction, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
burke,Burke Construction Group,5,Burke Construction Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ganem,Ganem Construction,5,Ganem Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
gcon,GCON,5,GCON,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mst,MST Construction Company,5,MST Construction Company,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mycon,MYCON General Contractors,5,MYCON General Contractors,KEEP,,LOW,Short name - verify legitimate abbreviation,None
nitti,Nitti Builders,5,Nitti Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ricor,Ricor,5,Ricor,KEEP,,LOW,Short name - verify legitimate abbreviation,None
tlw,TLW Construction,5,TLW Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
avm,AVM Construction,4,AVM Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
clark,CLARK CONSTRUCTION GROUP,4,CLARK CONSTRUCTION GROUP,KEEP,,LOW,Short name - verify legitimate abbreviation,None
clay,Clayco,4,Clayco,KEEP,,HIGH,"Four letters - full form ""Clayco"", abbreviation ""clay"" - valid",None
dpr,DPR Construction,4,DPR Construction,KEEP,,HIGH,Three letters - valid acronym,None
emj,EMJ Construction,4,EMJ Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
eos,EOS Builders,4,EOS Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
fcl,FCL Builders,4,FCL Builders,KEEP,,HIGH,Three-letter acronym - appears clean but verify no regional variants,None
gallo,Gallo,4,Gallo,KEEP,,LOW,Short name - verify legitimate abbreviation,None
kdc,"KDC Construction, Inc",4,"KDC Construction, Inc",KEEP,,LOW,Short name - verify legitimate abbreviation,None
sdb,SDB,4,SDB,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sigma,Sigma Contracting,4,Sigma Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
stout,"Stout, LLC",4,"Stout, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
sub 4,Sub 4 Development Company,4,Sub 4 Development Company,KEEP,,LOW,Short name - verify legitimate abbreviation,None
3-g,3-G Construction,3,3-G Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ckz,CKZ Holdings,3,CKZ Holdings,KEEP,,LOW,Short name - verify legitimate abbreviation,None
clune,Clune,3,Clune,KEEP,,LOW,Short name - verify legitimate abbreviation,None
combs,Combs,3,Combs,KEEP,,LOW,Short name - verify legitimate abbreviation,None
core,Core Construction,3,Core Construction,KEEP,,HIGH,Four letters - appears clean,None
csi,CSI Construction Company,3,CSI Construction Company,KEEP,,HIGH,Three-letter acronym - appears clean,None
curve,Curve Development,3,Curve Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
delta,Delta Construction,3,Delta Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
fore,Fore Construction,3,Fore Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
gray,Gray,3,Gray,KEEP,,LOW,Short name - verify legitimate abbreviation,None
h4u,H4U,3,H4U,KEEP,,LOW,Short name - verify legitimate abbreviation,None
hawk,Hawk Builders,3,Hawk Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ideal,Ideal Co Inc,3,Ideal Co Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
irwin,"Irwin Construction Company, LLC",3,"Irwin Construction Company, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
itsa,ITSA Contracting,3,ITSA Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
jlb,JLB Builders,3,JLB Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
key,Key Construction Inc,3,Key Construction Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ngc,"NGC Group, Inc",3,"NGC Group, Inc",KEEP,,LOW,Short name - verify legitimate abbreviation,None
nunns,Nunns Construction,3,Nunns Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
