contractor_canonical_name,project_name,project_address,source_file,job_id_if_any
ar mays,PARK 10 SHOPS B,10331 W MCDOWELL RD,excel_location_completed.csv,540914
ar mays,CAVE CREEK CROSSING,5450 E CAREFREE HWY,excel_location_completed.csv,76086
ar mays,MIRABEL GOLF CLUBHOUSE,37100 N MIRABEL CLUB DR,excel_location_completed.csv,
ar mays,CITY NORTH PH2,5515 E DEER VALLEY DR,excel_location_completed.csv,75949
ar mays,999 PLAYA,999 E PLAYA NORTE DRIVE,excel_location_completed.csv,
ar mays,FAT CATS- QUEEN CREEK,NWC RIGGS ROAD & ELLSWORTH RD,excel_location_completed.csv,
ar mays,PINAL COUNTY SAN TAN,31500 N SCHNEPF ROAD,excel_location_completed.csv,
ar mays,RESIDENCE INN (SRPMIC),5201 N PIMA RD,excel_location_completed.csv,
ar mays,LAVEENE PARK PLACE PHASE I,6120 W BASELINE RD,excel_location_completed.csv,73820
ar mays,CARSENSE- SCOTTSDALE,3305 N 89TH STREET,excel_location_completed.csv,
ar mays,TEMPE MARKET STATION,1929 E RIO SALADO,excel_location_completed.csv,N.D.C
brycon,FM INDUSTRIES PHOENIX FAC,2635 E MAGNOLIS ST,excel_location_completed.csv,
brycon,CHANDLER AIR PRODUCTS,275 S PRICE RD,excel_location_completed.csv,
brycon,TOY BARN CHANDLER,SWC SWC DOUGLAS DR. & STEARMAN DR,excel_location_completed.csv,
brycon,TOY BARN CAVE CREEK,31606 N CAVE CREEK RD,excel_location_completed.csv,78839
brycon,UNIVERSITY BUSINESS CENTER,624 S RIVER DRIVE,excel_location_completed.csv,77974
brycon,J.B HENDERSON,1675 N DELAWARE ST,excel_location_completed.csv,89215
caliente,HIGLEY BARNS,3545 E WILLIAMSFIELD ROAD,excel_location_completed.csv,N.D.C.
gcon,SYNERGY-GYM & CLASSROOM,2701 W BETHANY HOME RD,excel_location_completed.csv,88265
gcon,DANIEL C GAINEY ESTATE CLUB,7720 E GAINEY RANCH RD,excel_location_completed.csv,86142
gcon,FALCON FIELD HANGARS PH 2,4603 E MALLORY CIR,excel_location_completed.csv,84455
haydon,LEGACY SPORTS AND ENTERTAINMENT,SEC ELLSWORTH AND PECOS,excel_location_completed.csv,
haydon,COOLIDGE NORTHERN AVENUE ROAD IMPROVMENTS,860 W NORTHERN AVE,excel_location_completed.csv,89835
haydon,NUESTRO PARK,1433 S 9TH ST,excel_location_completed.csv,90788
holder,FOX TECHNOLOGY,2010 E CENTRAL CIRCLE,excel_location_completed.csv,
holder,FOX EARTH STATION,1040 W MERILL AVE,excel_location_completed.csv,
layton,SW INDUSTRIAL BUILDINGS 2 & 3,7700 W BUCKEYE RD,excel_location_completed.csv,75551
layton,CAESARS REPUBLIC SCOTTSDALE,SEC GOLWATER BLVD & HIGHLAND,excel_location_completed.csv,
layton,PROJECT ANDELE,500 W PINNACLE PEAK RD,excel_location_completed.csv,83227
layton,VT 303 PROJECT SLIDER,SEC MARYLAND & SARIVAL,excel_location_completed.csv,86935
layton,PROJECT BAXTER,NEC LITCHFIELD RD & SWEETWATER,excel_location_completed.csv,
layton,DON & CHARLIES HOTEL,7501 E CAMELBACK RD,excel_location_completed.csv,
layton,PROJECT LAGERHAUS,10001 N REEMS ROAD,excel_location_completed.csv,
ryan companies,BANNER IRONWOOD MOB,37200 N GANTZEL RD,excel_location_completed.csv,73965
ryan companies,EXIBIT 17 NORTH PHASE II,23800 FARMERS WAY,excel_location_completed.csv,72341
ryan companies,CLARENDALE OF CHANDLER,5900 S GILBERT RD,excel_location_completed.csv,67592
ryan companies,FARMERS PHASE II,23800 E FARMERS WAY,excel_location_completed.csv,
ryan companies,PV 303 - UPS PHASE 2,16800 W INDIAN SCHOOL RD,excel_location_completed.csv,
ryan companies,CHANDLER AIRPORT COMMERCE,3033 S MCQUEEN RD,excel_location_completed.csv,77105
ryan companies,777 TOWER AT NOVUS,800 E UNIVERSITY DR,excel_location_completed.csv,75247
ryan companies,ERHARDT PARK COMMUNITY,4003 S EVERGREEN RD,excel_location_completed.csv,
ryan companies,SCOTTSDALE SENIOR LIVING,E PINNACLE PEAK PKWY,excel_location_completed.csv,73092
ryan companies,CANOPY BY HILTON - SCOTTSDALE,7140 E 1ST ST,excel_location_completed.csv,75512
ryan companies,PROJECT JAMESON,SEC SEC MCQUEEN RD & QUEEN CREEK RD,excel_location_completed.csv,
ryan companies,CROSSPOINT,20022 N 31ST AVE,excel_location_completed.csv,8577
ryan companies,FRIENDSHIP VILLAGE OF TEMPE,2645 E SOUTHERN AVE,excel_location_completed.csv,78662
ryan companies,MOUNTAINSIDE FITNESS CADENCE,E CADENCE PARKWAY,excel_location_completed.csv,
ryan companies,GENERATIONS AT 66TH AND MAYO,NE CORNER 66TH ST AND MAYO BLVD,excel_location_completed.csv,
ryan companies,GCS- INFRASTRUCTURE,150TH DR & MCDOWELL ED,excel_location_completed.csv,
ryan companies,CLARENDALE ARCADIA,3233 E CAMELBACK RD,excel_location_completed.csv,83506
wespac,TOLLESON LOGISTICS CENTER,10601 W VAN BUREN ST,excel_location_completed.csv,88935
wespac,CCS CORPORATE HQ,1426 W BASS PRO DR,excel_location_completed.csv,92639
willmeng,CAZ 7 PROJECT FLIGHT,1265 S PRICE RD,excel_location_completed.csv,70425
willmeng,CAZ 5 PARKING GARAGE,1700 S PRICE RD,excel_location_completed.csv,92595
willmeng,GREENTREE BUSINESS CENTER,1315 W GREENTREE DR,excel_location_completed.csv,
willmeng,GRIC- WHPDA MULTI USE,WILD HORSE RD & 48TH ST,excel_location_completed.csv,
willmeng,ARROWHEAD GLENDALE DEARLERSHIP,101 & BEARDSLEY RD,excel_location_completed.csv,81949
willmeng,AF STEEL FAB,6579 W ROCK SOLID WAY,excel_location_completed.csv,
willmeng,CAZ 6,1475/1375 S PRICE RD,excel_location_completed.csv,
willmeng,AIRGATE 1,7442 E RAY ROAD,excel_location_completed.csv,87536
willmeng,KENTWOOD 303,NEC COTTON LN & BETHANY HOME RD,excel_location_completed.csv,86920
willmeng,CLARION PARKING EXPANSION,2225 S 75th AVE,excel_location_completed.csv,
willmeng,AVONDALE FIRE STATION #175,12495 W VAN BUREN ST,excel_location_completed.csv,88636
willmeng,SURPRISE XERISCAPE GARDEN,16000 N CIVIC CENTER PLAZA,excel_location_completed.csv,91413
willmeng,TRAMMELL PARK ALDEA,101ST AVE & MISSOURI,excel_location_completed.csv,91829
willmeng,FRITO-LAY PEORIA LOGISTICS,SWC 75TH AVE & GOLDEN LANE,excel_location_completed.csv,93116
willmeng,COUNTRYSIDE PARK,15151 W GREENWAY RD,excel_location_completed.csv,94258
