raw_spelling,source_file,record_count,should_merge,canonical_form,notes
Willmeng,"excel_credit_memos.csv, excel_rental_bv.csv, excel_rental_items.csv, excel_rental_swppp_numbers.csv, excel_swppp_bv.csv, excel_wt_sw.csv",247,YES,Willmeng,Primary simple name
Willmeng Construction,"certs_2025_all.csv, excel_cp_invoices_2024.csv, excel_cp_invoices_2025.csv, excel_swppp_bv.csv, excel_swppp_confirmed.csv, excel_swppp_need_schedule.csv",224,YES,Willmeng Construction,Primary full name variant
WILLMENG,"excel_location_billing_invoices.csv, excel_location_completed.csv, excel_location_contract_billing.csv, excel_location_sheet1.csv, excel_location_uploads.csv",93,YES,Willmeng,All caps - normalize to title case
WILLMENG CONSTRUCTION INC,"excel_location_completed.csv, excel_location_contract_billing.csv, excel_location_sheet1.csv, excel_location_uploads.csv",29,YES,Willmeng Construction,All caps full name - normalize
willmeng.com,"excel_location_completed.csv, excel_location_uploads.csv",19,NO,EXTRACT_CONTACT,Contact info - keep separate
WILLMENG.COM,excel_location_completed.csv,6,YES,Willmeng,
Willmeng                              (Need Job #),excel_wt_sw.csv,6,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng Construction Inc,certs_2025_all.csv,4,YES,Willmeng Construction,Construction variant
Willmeng 520-249-0734,excel_swppp_bv.csv,4,PARTIAL,Willmeng - EXTRACT_PHONE,Contains phone number - extract to separate field
Willmeng                           (Need Job #),excel_wt_sw.csv,4,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
willmeng.com;jcrichton@willmeng.com,excel_location_completed.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
WILLMENG Canceled,excel_location_completed.csv,2,YES,Willmeng,
willmeng.com; landerson@willmeng.com; rstuker@willmeng.com,excel_location_completed.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
WILLMENG Doing own inspections,excel_location_completed.csv,2,YES,Willmeng,
WILLMENG CONSTRUCTION,excel_location_completed.csv,2,YES,Willmeng Construction,All caps full name - normalize
willmeng.com; nortega@willmeng.com; akarnati@willmeng.com,excel_location_completed.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
Willmeng 520-249-0734 or Avanash 864-650-6767,excel_swppp_bv.csv,2,PARTIAL,Willmeng - EXTRACT_PHONE,Contains phone number - extract to separate field
Willmeng                                          Job  25-03-3950,excel_wt_sw.csv,2,YES,Willmeng,
Willmeng                                    (COR to mnasiri@willmeng.com),excel_wt_sw.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
Willmeng                                    (Invoice for contract billing),excel_wt_sw.csv,2,YES,Willmeng,
Willmeng                                    (Job #22-03-3649),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                                    (Job 25-07-3920),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                                   (Job # 22-02-3554),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                                   (Job # 24-02-3853),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                                  Job #24-02-3869  (Mark said use this #),excel_wt_sw.csv,2,YES,Willmeng,
Willmeng                              (Need Jobs #),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                             (Need Job #),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                            (Job # 24-02-3897),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                            (Job # 25-03-3931),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                            (Need Job #),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                           (Job # 25023946),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                           (Job #24-01-3857),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                        (Job 25013915)  Patrick Smith 480-824-3138,excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                        (Send COR to  bbaker@willmeng.com;bcarroll@willmeng.com),excel_wt_sw.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
Willmeng                      (danderson@willmeng.com)     (Job # 23-03-3747),excel_wt_sw.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
Willmeng                      (Job 23-01-3697),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                      (Job 23-03-3721),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                      (Job 23-07-3727),excel_wt_sw.csv,2,PARTIAL,Willmeng - EXTRACT_NOTES,Contains job/COR info - extract to separate field
Willmeng                 (COR goes to  jaddis@willmeng.com;ascott@willmeng.com),excel_wt_sw.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
Willmeng           (COR smersereau@willmeng.com;tnez@willmeng.com),excel_wt_sw.csv,2,NO,EXTRACT_CONTACT,Contact info - keep separate
Willmeng Construction Inc.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
