Multi-Interval Precipitation Totals

                         FLOOD CONTROL DISTRICT of MARICOPA COUNTY
                     Precipitation Report for ALL FCDMC Rain Stations
                       6 and 24 Hours Ending 12/31/25 at 1418
            *** Data is Preliminary and Unedited, ---- Denotes Missing Data ***

     Gage                          In or Nearest      Gage    Elev.  Rainfall    Rainfall      MSP Forecast       General
     Name                           City / Town        ID     (ft)   Past 6 hr  Past 24 hr         Zone           Location
--------------------------------   ---------------   ------  ------  ---------  ----------  ------------------   --------------------------------------------
4th of July Wash                   Agua Caliente      41200   1120      0.00       0.00     None                  21 mi. W of Old US80 on Agua Caliente Road                   
Columbus Wash                      Agua Caliente      40800    705      0.00       0.00     None                  8 mi. N of Agua Caliente                                     
Copper Wash                        Agua Caliente      41000   1080      0.00       0.00     None                  15 miles north of Agua Caliente                              
Gila Bend Mountains                Agua Caliente      41500   1560      0.00       0.00     Palo Verde            16 mi NW of Painted Rock Dam off Agua Caliente Rd.           
Mt. Oatman                         Agua Caliente      40700   1740      0.00       0.00     None                  8 mi. WSW of Painted Rock Dam
Centennial Divide                  Aguila             29700   2465      0.00       0.00     Upper Centennial      7 miles west of the US89/US93 Junction                       
Centennial Wash near Aguila        Aguila             29000   2275      0.00       0.00     Upper Centennial      5 mi. NNE of the US 60 / SR 71 junction                      
Centennial Wash                    Aguila             29200   2420      0.00       0.00     Upper Centennial      On US 60, 19 mi. W of Wickenburg
Dead Horse Wash                    Aguila             43700   2140      0.00       0.00     None                  Near Aguila Rd., 14 miles SE of Aguila
Aguila VFD                         Aguila             28300   2170      0.00       0.00     Upper Centennial      1/4 mi. SE of Eagle Eye Rd. & US 60
Outlaw Hill                        Aguila             28500   2670      0.00       0.00     Upper Centennial      South of US 60, 14 miles east of Aguila                      
Ritter Dam                         Aguila             30000   2345      0.00       0.00     Upper Centennial      9 miles NE of Aguila  
Smith Peak                         Aguila             29500   5120      0.00       0.00     Upper Centennial      Harcuvar Mtns., 13 mi. NW of Aguila                          
Upper Grass Wash                   Aguila             27700   2290      0.00       0.00     Upper Centennial      7 miles SE of Aguila      
Upper Tiger Wash                   Aguila             26300   2175      0.00       0.00     None                  11 mi. S. of Aguila off Eagle Eye Road                       
Wood Tank                          Aguila             30300   2420      0.00       0.00     Upper Centennial      8 miles NNE of Aguila  
Apache Junction FRS                Apache Junction    81300   1810      0.00       0.00     Superstition          1/3 mi. NW of Lost Dutchman Blvd. and Idaho Rd.              
Apache Trail                       Apache Junction    36500   1735      0.00       0.00     Superstition          Royal Palm Rd. & 4th Ave., Apache Junction
Bulldog Canyon                     Apache Junction    38800   2065      0.00       0.00     Superstition          2 mi. NW of the alignments of Baseline & Tomahawk            
Carney Springs                     Apache Junction    37300   2215      0.00       0.00     Superstition          6.2 mi. NE of Peralta Rd. @ US 60
Kings Ranch                        Apache Junction    39000   2140      0.00       0.00     Superstition          7 mi. ESE of Apache Junction                                 
McDowell Rd. @ Meridian Rd.        Apache Junction    33500   1910      0.00       0.00     Superstition          1/4 mile E of Meridian Rd. and McDowell Road
Peralta Road                       Apache Junction    37100   1985      0.00       0.00     Superstition          3.4 mi. NE of Peralta Rd. @ US 60
Reavis Trailhead                   Apache Junction    63700   3595      0.00       0.00     None                  E. of SR 88 near Apache Lake, end of FR 212, Superstition Mtns.
Tortilla Well                      Apache Junction    63600   3165      0.00       0.00     None                  5.9 mi. ESE of Tortilla Flat, Superstition Mtns.
Trailhead 88                       Apache Jucntion    36600   1285      0.00       0.00     None                  On SR 88, 7 miles NE of Apache Junction
US 60 @ Gold Canyon                Apache Junction    36900   1745      0.00       0.00     Superstition          US 60 @ Superstition Mountain Dr.
Weekes Wash @ Baseline Rd.         Apache Junction    39200   1630      0.00       0.00     Superstition          Baseline at Royal Palm Road
Wolverine Pass                     Apache Junction    38300   2050      0.00       0.00     Superstition          1/4 mi. N of the alignments of Baseline & Tomahawk
Centennial Railroad                Arlington          24700    850      0.00       0.00     Palo Verde            8 mi. NW of Old US 80 at the Gila River                      
Centennial Trib. @ Dobbins         Arlington          22800   1020      0.00       0.00     Palo Verde            7.5 mi. WSW of Palo Verde Nuclear Plant
Cruff Wash                         Arlington          23700    970      0.00       0.00     Palo Verde            6 mi. west of Agua Caliente Road and Old US 80               
G&F Woolsey Peak                   Arlington          23200   1985      0.00       0.00     None                  8 miles SW of Gillespie Dam
Gillespie Dam                      Arlington          27200    760      0.00       0.00     None                  Gila River at Old US 80                                      
Hassayampa Landfill                Arlington          44800    905      0.00       0.00     Palo Verde            2 mi. NW of Hassayampa                                       
Webb Mountain                      Arlington          24500   1035      0.00       0.00     None                  4 mi. west of Agua Caliente Road and Old US 80               
Agua Fria R. @ Buckeye Rd.         Avondale           85000    970      0.00       0.00     West Valley           Buckeye Rd. Bridge over Agua Fria River, nr Avondale         
Colter Channel @ El Mirage Rd.     Avondale           85500   1030      0.00       0.00     West Valley           1/4 mi. N of Camelback and El Mirage Rd.                     
Sunset Point                       Black Canyon City  16500   3395      0.00       0.00     None                  Sunset Point Rest Area, 10 mi. N of Black Canyon City        
Belmont Mountains                  Buckeye            46300   1860      0.00       0.00     None                  4.8 mi. SW of the Aguila/Wickenburg Roads intersection
Buckeye FRS #1                     Buckeye            44000   1090      0.00       0.00     West Valley           West end of Buckeye FRS #1, I-10 @ Hassayampa River          
Buckeye FRS #2                     Buckeye            44500   1115      ----       ----     West Valley           5 mi. N of Buckeye nr the algnmnts. of Yuma and Miller       
Buckeye FRS #3                     Buckeye            44800   1150      0.00       0.00     West Valley           1/4 mi. NE of I-10 and Watson Rd.                            
Buckeye Rd. @ SR 85                Buckeye            18500    865      0.00       0.00     West Valley           Buckeye Rd. at State Route 85                                
Camelback Rd. @ Turner Rd.         Buckeye            44600   1410      0.00       0.00     West Valley           Camelback Rd. alignment 2 mi. E of Sun Valley Pkwy.
Four Mile Wash                     Buckeye            26500   1210      0.00       0.00     None                  Near the alignments of 371st Ave. and Glendale Ave.          
I-10 @ 355th Ave.                  Buckeye            18200   1095      0.00       0.00     None                  3 miles NW of the Hassayampa River crossing of I-10          
Jackrabbit Wash                    Buckeye            45000   1725      0.00       0.00     None                  16 mi. NNE of Tonopah, 20 mi. SSW of Wickenburg              
Rainbow Wash                       Buckeye            42800    905      0.00       0.00     Rainbow Valley        9 miles south of Buckeye on SR 85
Sun Valley Pkwy. @ Northern Ave.   Buckeye            48300   1395      0.00       0.00     West Valley           Sun Valley Pkwy. at Northern Ave. alignment
Wagner Wash @ Sun Valley Pkwy.     Buckeye            44700   1440      0.00       0.00     West Valley           Sun Valley Pkwy. at Bell Rd. alignment
White Tank FRS #3                  Buckeye            87300   1215      0.00       0.00     West Valley           4 mi. N of I-10 on Jackrabbit Trail alignment                
White Tank FRS #4                  Buckeye            87800   1065      0.00       0.00     West Valley           1/4 mi. NE of Tuthill Rd. and Van Buren St.                  
White Tank Outlet @ Indian School  Buckeye            87400   1160      0.00       0.00     West Valley           Indian School Rd. @ 195th Ave.
White Tank Peak                    Buckeye            1800    4010      0.00       0.00     West Valley           Top of White Tank Mtns., 13 mi. N of Buckeye                 
